fk_parcel_id,varnish_type,run_number,varnish_amount_kg,solvent_amount_kg,run_status,run_date
92,PL1019-34,2,550,416,1,2024-11-22
93,28S30WB-1,1,911,173,1,2024-11-21
93,PL1019-34,2,322,498,1,2024-11-24
94,28S30WB-1,1,877,329,1,2024-11-22
94,PL1019-34,2,768,112,1,2024-11-24
95,28S30WB-1,1,1500,87,1,2024-11-22
95,PL1019-34,2,669,122,1,2024-11-23
96,28S30WB-1,1,470,457,1,2024-11-22
96,PL1019-34,2,1277,486,1,2024-11-24
97,PL1019-34,1,1108,318,1,2024-11-08
97,816361,2,715,381,1,2024-11-11
97,816361,3,449,5,1,2024-11-12
98,28S30WB-1,1,737,67,1,2024-11-08
98,PL1014-59,2,1234,374,1,2024-11-09
99,28S30WB-1,1,1351,93,1,2024-11-08
99,PL1014-59,2,355,497,1,2024-11-09
100,28S30WB-1,1,1250,352,1,2024-11-08
100,PL1014-59,2,80,216,1,2024-11-09
101,28S30WB-1,1,1016,173,1,2024-11-08
101,PL1014-59,2,1190,216,1,2024-11-09
102,28S30WB-1,1,182,184,1,2024-11-11
102,PL1014-59,2,369,117,1,2024-11-14
103,PL1019-34,1,1431,432,1,2024-11-08
103,DE4488-3LV,2,1458,213,1,2024-11-09
103,DE5449-4,3,64,269,1,2024-11-10
104,PL1019-34,1,959,432,1,2024-11-10
104,DE4488-3LV,2,693,96,1,2024-11-11
104,DE5449-4,3,1027,494,1,2024-11-13
105,PL1019-34,1,951,145,1,2024-11-12
105,DE4488-3LV,2,1274,80,1,2024-11-14
105,DE5449-4,3,1409,475,1,2024-11-15
106,PL1019-34,1,400,220,1,2024-11-12
106,DE4488-3LV,2,385,11,1,2024-11-13
106,DE5449-4,3,248,260,1,2024-11-15
107,PL1019-34,1,611,463,1,2024-11-12
107,DE4488-3LV,2,1409,466,1,2024-11-13
107,DE5449-4,3,1157,118,1,2024-11-16
108,PL1019-34,1,359,100,1,2024-11-13
108,DE4488-3LV,2,1417,204,1,2024-11-16
108,DE5449-4,3,444,347,1,2024-11-18
109,PL1019-34,1,871,271,1,2024-11-13
109,DE4488-3LV,2,1275,494,1,2024-11-14
109,DE5449-4,3,195,218,1,2024-11-17
110,PL1019-34,1,809,374,1,2024-11-08
110,818062,2,528,156,1,2024-11-09
110,818062,3,132,395,1,2024-11-10
111,PL1019-34,1,772,388,1,2024-11-10
111,818062,2,1279,216,1,2024-11-12
111,818062,3,1409,356,1,2024-11-14
112,PL1019-34,1,622,425,1,2024-11-10
112,818062,2,595,68,1,2024-11-12
112,818062,3,973,421,1,2024-11-14
113,PL1019-34,1,1355,164,1,2024-11-10
113,818062,2,1310,301,1,2024-11-11
113,818062,3,342,264,1,2024-11-12
114,816944,1,329,412,1,2024-11-08
114,816361,2,1315,115,1,2024-11-09
115,816944,1,53,453,1,2024-11-09
115,816361,2,496,249,1,2024-11-10
116,816944,1,1213,32,1,2024-11-10
116,816361,2,106,327,1,2024-11-11
117,816944,1,1139,83,1,2024-11-11
117,816361,2,857,478,1,2024-11-14
118,816944,1,721,102,1,2024-11-12
118,816361,2,1015,256,1,2024-11-13
119,816944,1,102,169,1,2024-11-12
119,816361,2,171,19,1,2024-11-14
120,816944,1,1098,16,1,2024-11-13
120,816361,2,574,367,1,2024-11-15
121,816944,1,504,478,1,2024-11-13
121,816361,2,1446,309,1,2024-11-14
122,816944,1,1394,285,1,2024-11-13
122,816361,2,733,23,1,2024-11-14
123,816944,1,129,130,1,2024-11-13
123,816361,2,665,123,1,2024-11-14
124,816944,1,831,305,1,2024-11-13
124,816361,2,1367,21,1,2024-11-15
125,816944,1,1001,437,1,2024-11-13
125,816361,2,891,119,1,2024-11-16
126,816944,1,1493,190,1,2024-11-14
126,816361,2,133,40,1,2024-11-16
127,816944,1,229,178,1,2024-11-14
127,816361,2,1297,73,1,2024-11-15
128,816944,1,245,117,1,2024-11-14
128,816361,2,166,1,1,2024-11-17
129,816944,1,1433,28,1,2024-11-15
129,816361,2,1175,224,1,2024-11-17
130,816944,1,1259,373,1,2024-11-16
130,816361,2,1375,146,1,2024-11-18
131,28S30WB-1,1,1023,20,1,2024-11-08
131,PL1019-34,2,43,440,1,2024-11-10
132,28S30WB-1,1,774,287,1,2024-11-10
132,PL1019-34,2,687,455,1,2024-11-11
133,28S30WB-1,1,512,241,1,2024-11-10
133,PL1019-34,2,1239,105,1,2024-11-12
134,28S30WB-1,1,1191,218,1,2024-11-10
134,PL1019-34,2,1316,467,1,2024-11-13
135,28S30WB-1,1,1140,276,1,2024-11-12
135,PL1019-34,2,904,59,1,2024-11-14
136,28S30WB-1,1,719,123,1,2024-11-13
136,PL1019-34,2,1097,99,1,2024-11-17
137,28S30WB-1,1,481,213,1,2024-11-15
137,PL1019-34,2,361,381,1,2024-11-16
138,28S30WB-1,1,1064,427,1,2024-11-15
138,PL1019-34,2,847,63,1,2024-11-17
139,28S30WB-1,1,503,63,1,2024-11-18
139,PL1019-34,2,1375,469,1,2024-11-20
140,28S30WB-1,1,1369,136,1,2024-11-19
140,PL1019-34,2,282,155,1,2024-11-20
141,28S30WB-1,1,203,355,1,2024-11-19
141,PL1019-34,2,906,442,1,2024-11-21
142,28S30WB-1,1,829,235,1,2024-11-19
142,PL1019-34,2,1228,73,1,2024-11-21
143,28S30WB-1,1,1362,297,1,2024-11-19
143,PL1019-34,2,646,164,1,2024-11-23
144,28S30WB-1,1,358,289,1,2024-11-20
144,PL1019-34,2,1429,412,1,2024-11-21
145,28S30WB-1,1,1453,464,1,2024-11-21
145,PL1019-34,2,1330,56,1,2024-11-22
146,28S30WB-1,1,1428,171,1,2024-11-21
146,PL1019-34,2,118,230,1,2024-11-22
147,28S30WB-1,1,1072,138,1,2024-11-22
147,PL1019-34,2,1261,302,1,2024-11-25
148,28S30WB-1,1,736,231,1,2024-11-22
148,PL1019-34,2,278,30,1,2024-11-25
149,28S30WB-1,1,483,470,1,2024-11-22
149,PL1019-34,2,730,345,1,2024-11-24
150,28S30WB-1,1,1497,40,1,2024-11-22
150,PL1019-34,2,1007,253,1,2024-11-24
151,PL1019-34,1,807,294,1,2024-11-08
151,DE4488-3LV,2,409,221,1,2024-11-11
152,PL1019-34,1,1041,480,1,2024-11-09
152,DE4488-3LV,2,113,433,1,2024-11-10
153,PL1019-34,1,1026,102,1,2024-11-11
153,DE4488-3LV,2,237,197,1,2024-11-13
154,PL1019-34,1,482,350,1,2024-11-11
154,DE4488-3LV,2,1091,143,1,2024-11-12
155,PL1019-34,1,530,397,1,2024-11-11
155,DE4488-3LV,2,1176,408,1,2024-11-13
156,PL1019-34,1,406,66,1,2024-11-13
156,DE4488-3LV,2,1354,54,1,2024-11-14
157,PL1019-34,1,920,83,1,2024-11-14
157,DE4488-3LV,2,1049,314,1,2024-11-17
158,PL1019-34,1,14,433,1,2024-11-14
158,DE4488-3LV,2,466,26,1,2024-11-15
159,PL1019-34,1,1420,126,1,2024-11-16
159,DE4488-3LV,2,256,456,1,2024-11-18
160,PL1019-34,1,1324,253,1,2024-11-16
160,DE4488-3LV,2,271,159,1,2024-11-17
161,PL1019-34,1,400,336,1,2024-11-16
161,DE4488-3LV,2,577,171,1,2024-11-17
162,PL1019-34,1,369,115,1,2024-11-16
162,DE4488-3LV,2,366,146,1,2024-11-17
163,PL1019-34,1,1245,10,1,2024-11-16
163,DE4488-3LV,2,944,6,1,2024-11-17
164,PL1019-34,1,900,86,1,2024-11-16
164,DE4488-3LV,2,1015,480,1,2024-11-17
165,PL1019-34,1,584,18,1,2024-11-16
165,DE4488-3LV,2,1245,487,1,2024-11-17
166,PL1019-34,1,265,37,1,2024-11-17
166,DE4488-3LV,2,155,343,1,2024-11-21
167,PL1019-34,1,122,378,1,2024-11-17
167,DE4488-3LV,2,817,428,1,2024-11-20
168,PL1019-34,1,1001,326,1,2024-11-18
168,DE4488-3LV,2,1375,389,1,2024-11-21
169,PL1019-34,1,791,472,1,2024-11-18
169,DE4488-3LV,2,162,489,1,2024-11-19
170,PL1019-34,1,1355,391,1,2024-11-20
170,DE4488-3LV,2,1077,179,1,2024-11-22
171,PL1019-34,1,291,52,1,2024-11-21
171,DE4488-3LV,2,418,273,1,2024-11-24
172,PL1019-34,1,164,19,1,2024-11-21
172,DE4488-3LV,2,398,9,1,2024-11-23
173,PL1019-34,1,119,91,1,2024-11-21
173,DE4488-3LV,2,1185,249,1,2024-11-24
174,PL1019-34,1,952,221,1,2024-11-22
174,DE4488-3LV,2,834,263,1,2024-11-23
175,PL1019-34,1,285,24,1,2024-11-22
175,DE4488-3LV,2,794,416,1,2024-11-23
176,PL1019-34,1,262,181,1,2024-11-25
176,DE4488-3LV,2,971,52,1,2024-11-29
177,PL1019-34,1,1080,491,1,2024-11-27
177,DE4488-3LV,2,167,429,1,2024-11-29
178,PL1019-34,1,1136,439,1,2024-11-27
178,DE4488-3LV,2,628,490,1,2024-11-28
179,PL1019-34,1,1383,438,1,2024-11-27
179,DE4488-3LV,2,761,70,1,2024-11-29
180,PL1019-34,1,387,13,1,2024-11-27
180,DE4488-3LV,2,774,296,1,2024-11-29
181,PL1019-34,1,419,250,1,2024-11-29
181,DE4488-3LV,2,70,207,1,2024-12-01
182,PL1019-34,1,528,371,1,2024-12-02
182,DE4488-3LV,2,719,300,1,2024-12-03
183,PL1019-34,1,1150,214,1,2024-12-02
183,DE4488-3LV,2,158,1,1,2024-12-04
184,PL1019-34,1,1448,239,1,2024-12-02
184,DE4488-3LV,2,468,193,1,2024-12-04
185,PL1019-34,1,670,353,1,2024-12-03
185,DE4488-3LV,2,626,225,1,2024-12-06
186,PL1019-34,1,177,255,1,2024-12-05
186,DE4488-3LV,2,733,71,1,2024-12-07
187,PL1019-34,1,533,347,1,2024-12-06
187,DE4488-3LV,2,1324,486,1,2024-12-07
188,PL1019-34,1,894,309,1,2024-12-06
188,DE4488-3LV,2,441,246,1,2024-12-08
189,PL1019-34,1,982,244,1,2024-12-06
189,DE4488-3LV,2,137,278,1,2024-12-07
190,PL1019-34,1,1229,341,1,2024-12-06
190,DE4488-3LV,2,1290,66,1,2024-12-09
191,PL1019-34,1,998,123,1,2024-11-08
192,PL1019-34,1,400,117,1,2024-11-09
193,PL1019-34,1,203,150,1,2024-11-09
194,PL1019-34,1,1007,198,1,2024-11-09
195,PL1019-34,1,480,320,1,2024-11-12
196,---,1,34,349,1,2024-11-08
196,---,2,252,475,1,2024-11-11
196,---,3,205,244,1,2024-11-13
196,---,4,374,74,1,2024-11-15
197,---,1,331,83,1,2024-11-08
197,---,2,391,101,1,2024-11-09
197,---,3,1155,10,1,2024-11-11
197,---,4,1344,379,1,2024-11-12
198,---,1,1138,342,1,2024-11-10
198,---,2,211,400,1,2024-11-11
198,---,3,1091,92,1,2024-11-12
198,---,4,672,245,1,2024-11-13
199,---,1,1122,171,1,2024-11-12
199,---,2,644,418,1,2024-11-14
199,---,3,439,268,1,2024-11-15
199,---,4,375,146,1,2024-11-16
200,---,1,293,393,1,2024-11-13
200,---,2,714,104,1,2024-11-14
200,---,3,1026,165,1,2024-11-15
200,---,4,1110,7,1,2024-11-16
260,PL1019-34,1,1183,295,1,2024-11-06
260,DE4488-3LV,2,1443,438,1,2024-11-07
261,PL1019-34,1,34,343,1,2024-11-08
261,DE4488-3LV,2,193,252,1,2024-11-10
262,PL1019-34,1,138,16,1,2024-11-09
262,DE4488-3LV,2,976,276,1,2024-11-10
263,PL1019-34,1,665,72,1,2024-11-11
263,DE4488-3LV,2,435,103,1,2024-11-12
264,PL1019-34,1,934,323,1,2024-11-11
264,DE4488-3LV,2,1268,460,1,2024-11-12
265,PL1019-34,1,422,271,1,2024-11-13
265,DE4488-3LV,2,1295,5,1,2024-11-14
266,PL1019-34,1,676,393,1,2024-11-14
266,DE4488-3LV,2,1133,29,1,2024-11-15
267,PL1019-34,1,376,257,1,2024-11-14
267,DE4488-3LV,2,117,113,1,2024-11-15
268,PL1019-34,1,1132,26,1,2024-11-15
268,DE4488-3LV,2,197,368,1,2024-11-16
269,PL1019-34,1,807,117,1,2024-11-15
269,DE4488-3LV,2,512,329,1,2024-11-16
270,PL1019-34,1,1213,214,1,2024-11-16
270,DE4488-3LV,2,1337,179,1,2024-11-17
271,PL1019-34,1,145,499,1,2024-11-16
271,DE4488-3LV,2,784,496,1,2024-11-17
272,PL1019-34,1,338,360,1,2024-11-17
272,DE4488-3LV,2,998,300,1,2024-11-18
273,PL1019-34,1,1287,289,1,2024-11-17
273,DE4488-3LV,2,936,137,1,2024-11-19
274,PL1019-34,1,375,314,1,2024-11-18
274,DE4488-3LV,2,385,473,1,2024-11-19
275,PL1019-34,1,1150,17,1,2024-11-18
275,DE4488-3LV,2,677,382,1,2024-11-19
276,PL1019-34,1,877,257,1,2024-11-18
276,DE4488-3LV,2,1138,145,1,2024-11-19
277,PL1019-34,1,1076,392,1,2024-11-20
277,DE4488-3LV,2,1340,497,1,2024-11-21
278,PL1019-34,1,1365,297,1,2024-11-20
278,DE4488-3LV,2,1240,156,1,2024-11-24
279,PL1019-34,1,1349,27,1,2024-11-22
279,DE4488-3LV,2,906,359,1,2024-11-23
307,28S30WB-1,1,461,145,1,2024-11-06
307,PL1019-34,2,1192,258,1,2024-11-09
308,28S30WB-1,1,71,54,1,2024-11-08
308,PL1019-34,2,589,419,1,2024-11-09
309,28S30WB-1,1,372,384,1,2024-11-09
309,PL1019-34,2,622,412,1,2024-11-11
310,28S30WB-1,1,280,30,1,2024-11-10
310,PL1019-34,2,1008,319,1,2024-11-12
311,28S30WB-1,1,460,425,1,2024-11-10
311,PL1019-34,2,1336,257,1,2024-11-12
312,28S30WB-1,1,953,61,1,2024-11-10
312,PL1019-34,2,588,453,1,2024-11-11
313,28S30WB-1,1,1218,499,1,2024-11-12
313,PL1019-34,2,784,456,1,2024-11-13
314,28S30WB-1,1,1047,28,1,2024-11-12
314,PL1019-34,2,629,19,1,2024-11-13
315,28S30WB-1,1,524,421,1,2024-11-12
315,PL1019-34,2,413,115,1,2024-11-14
316,28S30WB-1,1,434,86,1,2024-11-12
316,PL1019-34,2,91,491,1,2024-11-15
317,28S30WB-1,1,1249,429,1,2024-11-12
317,PL1019-34,2,200,221,1,2024-11-14
318,28S30WB-1,1,196,259,1,2024-11-14
318,PL1019-34,2,702,299,1,2024-11-17
319,28S30WB-1,1,82,310,1,2024-11-15
319,PL1019-34,2,300,327,1,2024-11-18
320,28S30WB-1,1,737,295,1,2024-11-16
320,PL1019-34,2,1263,177,1,2024-11-20
321,28S30WB-1,1,1079,238,1,2024-11-16
321,PL1019-34,2,445,104,1,2024-11-18
322,28S30WB-1,1,868,113,1,2024-11-16
322,PL1019-34,2,265,4,1,2024-11-17
323,28S30WB-1,1,700,175,1,2024-11-17
323,PL1019-34,2,1119,442,1,2024-11-18
324,28S30WB-1,1,452,324,1,2024-11-19
324,PL1019-34,2,478,325,1,2024-11-21
325,28S30WB-1,1,1259,173,1,2024-11-21
325,PL1019-34,2,581,408,1,2024-11-22
326,28S30WB-1,1,395,268,1,2024-11-23
326,PL1019-34,2,157,401,1,2024-11-24
327,28S30WB-1,1,43,427,1,2024-11-23
327,PL1019-34,2,984,286,1,2024-11-24
328,28S30WB-1,1,1230,261,1,2024-11-24
328,PL1019-34,2,1180,136,1,2024-11-25
329,28S30WB-1,1,543,307,1,2024-11-25
329,PL1019-34,2,89,499,1,2024-11-29
330,28S30WB-1,1,684,23,1,2024-11-25
330,PL1019-34,2,269,430,1,2024-11-26
331,816314,1,877,48,1,2024-11-06
331,816361,2,794,480,1,2024-11-10
332,816314,1,1122,413,1,2024-11-06
332,816361,2,109,11,1,2024-11-07
333,816314,1,1352,36,1,2024-11-06
333,816361,2,987,229,1,2024-11-08
334,816314,1,396,26,1,2024-11-08
334,816361,2,265,151,1,2024-11-09
335,816314,1,1130,297,1,2024-11-11
335,816361,2,172,59,1,2024-11-12
336,816314,1,1071,201,1,2024-11-12
336,816361,2,265,7,1,2024-11-15
337,816314,1,486,293,1,2024-11-13
337,816361,2,794,329,1,2024-11-15
338,816314,1,1002,164,1,2024-11-13
338,816361,2,230,372,1,2024-11-15
339,816314,1,1448,442,1,2024-11-14
339,816361,2,791,241,1,2024-11-16
340,816314,1,101,451,1,2024-11-14
340,816361,2,258,79,1,2024-11-16
341,816314,1,187,457,1,2024-11-16
341,816361,2,845,5,1,2024-11-19
342,816314,1,176,152,1,2024-11-18
342,816361,2,349,175,1,2024-11-20
343,816314,1,788,137,1,2024-11-18
343,816361,2,659,276,1,2024-11-19
344,816314,1,1209,48,1,2024-11-18
344,816361,2,174,395,1,2024-11-19
345,816314,1,1436,439,1,2024-11-18
345,816361,2,1436,412,1,2024-11-21
346,816314,1,1188,173,1,2024-11-19
346,816361,2,159,310,1,2024-11-22
347,816314,1,126,370,1,2024-11-19
347,816361,2,415,224,1,2024-11-20
348,816314,1,196,113,1,2024-11-19
348,816361,2,857,439,1,2024-11-20
349,816314,1,547,309,1,2024-11-20
349,816361,2,721,97,1,2024-11-21
350,816314,1,815,74,1,2024-11-22
350,816361,2,520,192,1,2024-11-25
351,PL1019-34,1,306,139,1,2024-11-06
351,DE4488-3LV,2,496,128,1,2024-11-08
351,DE5449-4,3,783,45,1,2024-11-11
352,PL1019-34,1,683,271,1,2024-11-06
352,DE4488-3LV,2,181,122,1,2024-11-07
352,DE5449-4,3,1376,1,1,2024-11-08
353,PL1019-34,1,213,112,1,2024-11-06
353,DE4488-3LV,2,806,461,1,2024-11-07
353,DE5449-4,3,507,192,1,2024-11-10
354,PL1019-34,1,693,424,1,2024-11-06
354,DE4488-3LV,2,592,498,1,2024-11-08
354,DE5449-4,3,273,283,1,2024-11-09
355,PL1019-34,1,945,388,1,2024-11-08
355,DE4488-3LV,2,474,114,1,2024-11-09
355,DE5449-4,3,1453,399,1,2024-11-10
356,PL1019-34,1,99,446,1,2024-11-08
356,DE4488-3LV,2,1078,3,1,2024-11-09
356,DE5449-4,3,1305,151,1,2024-11-12
357,PL1019-34,1,793,272,1,2024-11-09
357,DE4488-3LV,2,1403,245,1,2024-11-10
357,DE5449-4,3,572,14,1,2024-11-12
358,PL1019-34,1,1398,165,1,2024-11-12
358,DE4488-3LV,2,719,161,1,2024-11-15
358,DE5449-4,3,861,81,1,2024-11-16
359,PL1019-34,1,160,451,1,2024-11-13
359,DE4488-3LV,2,1434,436,1,2024-11-14
359,DE5449-4,3,931,350,1,2024-11-16
360,PL1019-34,1,1043,231,1,2024-11-15
360,DE4488-3LV,2,957,5,1,2024-11-17
360,DE5449-4,3,765,327,1,2024-11-18
361,---,1,1272,166,1,2024-11-06
361,---,2,1470,356,1,2024-11-07
362,---,1,1422,386,1,2024-11-07
362,---,2,1488,270,1,2024-11-09
363,---,1,1390,288,1,2024-11-07
363,---,2,798,328,1,2024-11-08
364,---,1,148,312,1,2024-11-07
364,---,2,1415,142,1,2024-11-11
365,---,1,435,134,1,2024-11-08
365,---,2,662,481,1,2024-11-09
366,---,1,66,340,1,2024-11-09
366,---,2,1432,128,1,2024-11-10
367,---,1,1198,428,1,2024-11-11
367,---,2,981,452,1,2024-11-12
368,---,1,992,136,1,2024-11-11
368,---,2,937,418,1,2024-11-12
369,---,1,1084,171,1,2024-11-13
369,---,2,156,96,1,2024-11-14
370,---,1,1001,358,1,2024-11-13
370,---,2,460,262,1,2024-11-15
371,---,1,1140,208,1,2024-11-13
371,---,2,730,190,1,2024-11-15
372,---,1,1098,191,1,2024-11-14
372,---,2,902,237,1,2024-11-15
373,---,1,618,215,1,2024-11-15
373,---,2,648,385,1,2024-11-16
374,---,1,1463,472,1,2024-11-17
374,---,2,1009,476,1,2024-11-18
375,---,1,786,167,1,2024-11-20
375,---,2,701,468,1,2024-11-21
376,---,1,270,55,1,2024-11-22
376,---,2,968,9,1,2024-11-24
377,---,1,859,162,1,2024-11-22
377,---,2,1283,10,1,2024-11-24
378,---,1,978,173,1,2024-11-22
378,---,2,299,500,1,2024-11-23
379,---,1,1492,472,1,2024-11-23
379,---,2,521,398,1,2024-11-24
380,---,1,1368,434,1,2024-11-23
380,---,2,1349,259,1,2024-11-24
381,---,1,726,235,1,2024-11-23
381,---,2,1331,228,1,2024-11-24
382,---,1,701,471,1,2024-11-25
382,---,2,859,22,1,2024-11-26
383,---,1,447,34,1,2024-11-26
383,---,2,769,427,1,2024-11-28
384,---,1,1068,73,1,2024-11-26
384,---,2,550,224,1,2024-11-27
385,---,1,554,360,1,2024-11-26
385,---,2,44,431,1,2024-11-27
386,---,1,1245,145,1,2024-11-26
386,---,2,794,86,1,2024-11-27
387,---,1,193,127,1,2024-11-29
387,---,2,135,378,1,2024-11-30
388,PL1019-34,1,245,46,1,2024-11-06
388,816361,2,195,386,1,2024-11-07
389,PL1019-34,1,582,209,1,2024-11-06
389,816361,2,870,128,1,2024-11-08
390,PL1019-34,1,33,259,1,2024-11-07
390,816361,2,64,187,1,2024-11-09
391,PL1019-34,1,764,287,1,2024-11-08
391,816361,2,397,54,1,2024-11-09
392,PL1019-34,1,149,306,1,2024-11-08
392,816361,2,1465,206,1,2024-11-09
393,PL1019-34,1,988,52,1,2024-11-08
393,816361,2,283,379,1,2024-11-09
394,PL1019-34,1,803,437,1,2024-11-11
394,816361,2,1063,230,1,2024-11-15
395,PL1019-34,1,596,120,1,2024-11-11
395,816361,2,66,248,1,2024-11-14
396,PL1019-34,1,231,462,1,2024-11-14
396,816361,2,1240,73,1,2024-11-15
397,PL1019-34,1,902,298,1,2024-11-14
397,816361,2,1269,377,1,2024-11-17
398,PL1019-34,1,989,438,1,2024-11-15
398,816361,2,1037,406,1,2024-11-17
399,PL1019-34,1,208,235,1,2024-11-17
399,816361,2,984,332,1,2024-11-19
400,PL1019-34,1,503,312,1,2024-11-18
400,816361,2,1172,4,1,2024-11-19
401,PL1019-34,1,80,402,1,2024-11-19
401,816361,2,443,18,1,2024-11-21
402,PL1019-34,1,663,188,1,2024-11-22
402,816361,2,378,156,1,2024-11-23
403,PL1019-34,1,1304,68,1,2024-11-22
403,816361,2,1499,314,1,2024-11-23
404,PL1019-34,1,1165,162,1,2024-11-24
404,816361,2,767,276,1,2024-11-25
411,PL1019-34,1,887,395,1,2024-11-06
411,DE4488-3LV,2,1102,81,1,2024-11-07
412,PL1019-34,1,438,282,1,2024-11-07
412,DE4488-3LV,2,683,487,1,2024-11-08
413,PL1019-34,1,292,306,1,2024-11-08
413,DE4488-3LV,2,1211,286,1,2024-11-11
414,PL1019-34,1,930,129,1,2024-11-08
414,DE4488-3LV,2,663,306,1,2024-11-11
415,PL1019-34,1,844,406,1,2024-11-06
415,DE4488-3LV,2,1211,78,1,2024-11-10
415,DE5449-4,3,246,126,1,2024-11-12
416,PL1019-34,1,818,233,1,2024-11-06
416,DE4488-3LV,2,367,200,1,2024-11-07
416,DE5449-4,3,309,208,1,2024-11-10
