product_id,product_name,nomenclature_1c,end_product,1c_code,cutting_format,cutting_format_1c,cutting_code_1c,cut_type,pallet,qt_per_parcel,specification,varnishing_type,varnishing_1,varnishing_2,varnishing_3,varnishing_4,varnishing_type_1c,varnishing_code_1c,sap_code,coil,ic_codes_for_coils,for_barcode
11,OT153-ELQ1542A3A HBI,OT153-ELQ1542A3A-20EB05-727LW-270TH435F5628-HBI-14400,OT153-ELQ1542A3A HBI,fff010610,"0,27x950x876 5,6/2,8 TH435 HBI",M-950-876-270TH435F5628-HBI,fff010200,СКРОЛЛ,920х935,1100.0,153-1 A,W/G,PL1014-59,819059,816733,,L-950-876-270TH435F5628-HBI-20EB05,fff010202,48004837,C-950---270TH435F5628-HBI,fff010196,0.27-950-876-TH435-F5628-HBI
12,OT153-ELQ1554A0A,OT153-ELQ1554A0A-20EB05-727LW-270TH435F5628-HBI-12800,OT153-ELQ1554A0A,fff010611,"0,27x950x876 5,6/2,8 TH435 HBI",M-950-876-270TH435F5628-HBI,fff010200,СКРОЛЛ,920х935,1100.0,153-1 A,W/G,PL1014-59,819059,816733,,L-950-876-270TH435F5628-HBI-20EB05,fff010202,48004206,C-950---270TH435F5628-HBI,fff010196,0.27-950-876-TH435-F5628-HBI
13,OT153-EPQ1555A2A,OT153-EPQ1555A2A-727LW-270TH435S2828-HBI-14400,OT153-EPQ1555A2A,fff010823,"0,27x950x876 2,8/2,8 TH435",M-950-876-270TH435S2828-HBI,fff010185,СКРОЛЛ,920х935,1100.0,435241,P/20E,819059,816733,48488,320 187,P-950-876-270TН435S2828-HBI-20E-435241-BIL,fff010836, ,C-950---270TН435S2828-HBI,fff010184,0.27-950-876-TH435-S2828-HBI
14,OT62-ELQ6215A6A,OT62-ELQ6215A6A-26EK05-975HP-170TH435S2828-HBI-144000,OT62-ELQ6215A6A,fff011027,"0,17x954x848 2,8/2,8 TH435",M-954-848-170TH435S2828-HBI,fff008459,СКРОЛЛ,830x917,1500.0,№82,BPANI 2W/C 26E,PL1019-34,16S61EG,16S61EG,DE5449-5,L-954-848-170TH435S2828-HBI,fff011040,48013486,C-954---170TH435S2828-HBI,fff008458,0.17-954-848-TH435-S2828-HBI
15,OT62-ELQ6216A2A,OT62-ELQ6216A2A-15VK05-975HP-170TH435S2828-HBI-144000,OT62-ELQ6216A2A,fff008371,"0,17x954x848 2,8/2,8 TH435",M-954-848-170TH435S2828-HBI,fff008459,СКРОЛЛ,830x917,1500.0,№55,W/C 15V,PL1019-34,DE4488-2HV,,,L-954-848-170TH435S2828-HBI-15VK05,fff008461,48013808,C-954---170TH435S2828-HBI,fff008458,0.17-954-848-TH435-S2828-HBI
16,OT70-ELQ7022A5A,OT70-ELQ7022A5A-20ЕК05-993DE-170TH580S5628-USK-90300,OT70-ELQ7022A5A,fff009204,"0,17x922x868 5,6/2,8 TH580",M-922-868-170TH580S5628-USK,fff009165,СКРОЛЛ,884х850,1500.0,№21  ,BPANI W/C 20E,PL1019-34,16S61EG,DE5449-5,,L-922-868-170TH580S5628-USK-20ЕК05,fff009203,48015774,C-922---170TH580S5628-USK,fff008630,0.17-922-868-TH580-S5628-USK
17,OT70-ELQ7024A5A,OT70-ELQ7024A5A-26EK05-993DE-180TH550S2856-USK-90300,OT70-ELQ7024A5A,fff008922,"0,18x922x868 5,6/2,8 TH550",M-922-868-180TH550F2856-USK,fff009018,СКРОЛЛ,884х850,1500.0,№66 ,BPANI 2W/C 26E,PL1019-34,16S61EG,16S61EG,DE5449-5,L-922-868-180TH550S5628-USK-26EK05,fff009017, ,C-922---180TH550S5628-USK,fff008631,0.18-922-868-TH550-F2856-USK
18,"OT96 0,20 G/C",OT96C65K05-ARGO-200TH550S2828-HBI-39000,"OT96 0,20 G/C",fff010977,"0,20x808x908 2,8/2,8 TH550",M-808-908-200TH550S2828-HBI,fff010618,СКРОЛЛ,900х771,1600.0,№75 ,G/C,PL1019-34,11064,,,L-808-908-200TH550S2828-HBI-C65K05,fff010978, ,С-808---200TH550S2828-HBI,fff010619,0.20-808-908-TH550-S2828-HBI
19,"OT99-921XQ 0,18 G/G",OT99-921XQ-180TH550S2828-HBI-C65B05-29120,"OT99-921XQ 0,18 G/G",fff007837,"0,18x838x941,7 2,8/2,8 TH550","M-838-941,7-180TH550S2828-HBI",fff007881,СКРОЛЛ,917x813,1500.0,№63-1,G/G,PL1014-59,11064,,,"L-838-941,7-180TH550S2828-HBI-C65B05",fff008336,49600246,C-838---180TH550S2828-HBI,fff005454,0.18-838-941.7-TH550-S2828-HBI
20,"OT99-921XQ 0,20 A55B05 ",OT99-921XQ-200TH550S2828-HBI A55B05-37856,"OT99-921XQ 0,20 A55B05 ",fff010636,"0,20x838x941, 2,8/2,8 TH550","M-838-941,7-200TH550S2828-HBI",fff005881,СКРОЛЛ,917x813,1500.0,99-C-1,ALU/G,28S30WB-1,PL1014-59,,,"L-838-941,7-200TH550S2828-HBI-A55B05",fff010621,49600248,C-838---200TH550S2828-HBI,fff008623,0.20-838-941.7-TH550-S2828-HBI
21,"OT99-921XQ 0,20 ALU/G",OT99-921XQ-200TH550S2828-HBI-A75B05-37856,"OT99-921XQ 0,20 ALU/G",fff008328,"0,20x838x941, 2,8/2,8 TH550","M-838-941,7-200TH550S2828-HBI",fff005881,СКРОЛЛ,917x813,1500.0,99-С-2 A,ALU/G,28S30WB-1,PL1014-59,,,"L-838-941,7-200TH550S2828-HBI-A75B05",fff008335,49600248,C-838---200TH550S2828-HBI,fff008623,0.20-838-941.7-TH550-S2828-HBI
22,"OT99-921XQ 0,22 ALU/G",OT99-921XQ-220TH550S2828-CHINA-A75B05-37856,"OT99-921XQ 0,22 ALU/G",fff009973,"0,22x838x941,7 2,8/2,8 TH550","M-838-941,7-220TH550S2828-CHINA",fff008636,СКРОЛЛ,917x813,1500.0,№68,ALU/G,28S30WB-1,PL1014-59,,,"L-838-941,7-220TH550S2828-CHINA-A75B05",fff009362, ,C-838---220TH550S2828-CHINA,fff005458,0.22-838-941.7-TH550-S2828-CHINA
23,"OT99-921XQ 0,22 ALU/G",OT99-921XQ-220TH550S2828-HBI-A75B05-37856,"OT99-921XQ 0,22 ALU/G",fff008329,"0,22x838x941,7 2,8/2,8 TH550","M-838-941,7-220TH550S2828-HBI",fff008330,СКРОЛЛ,917x813,1500.0,№64 ,ALU/G,28S30WB-1,PL1014-59,,,"L-838-941,7-220TH550S2828-HBI-A75B05",fff008331, ,C-838---220TH550S2828-HBI,fff010425,0.22-838-941.7-TH550-S2828-HBI
24,OT99-EBQ0556B2A,OT99-EBQ0556B2A-L04K04-716SU-180TH415S2020-USK-42500,OT99-EBQ0556B2A,fff010172,"0,18x838x826 2,0/2,0 TH415",M-838-826-180TH415S2020-USK,UA0001796,СКРОЛЛ,820x870,1700.0,№108,C/C,PL1019-34,PL1019-34,,,L-838-826-180TH415S2020-USK-L04K04,UA0001797,48016589, ,,0.18-838-826-TH415-S2020-USK
25,OT99-ELQ0730A0A,OT99-ELQ0730A0A-D10K04-716SU-180TH415S2020-USK-42500,OT99-ELQ0730A0A,fff010671,"0,18x838x826 2,0/2,0 TH415",M-838-826-180TH415S2020-USK,UA0001796,СКРОЛЛ,820x870,1700.0,№107,2G/C,PL1019-34,PPG2092-347/A ,PPG2092-347/A ,,L-838-826-180TH415S2020-USK-D10K04,UA0001798,47001445, ,,0.18-838-826-TH415-S2020-USK
26,OT99-ELQ9999A0A_ ,OT99-ELQ9999A0A---K05-715SU-250TH415F7575-USK-42500 Hollande,OT99-ELQ9999A0A_ ,fff007544,"0,25x838x826 7,5/7,5 TH415",M-838-826-250TH415F7575-USK-IMP,fff007549,СКРОЛЛ,820x870,,№ 52,P/C Hollande,PL1019-34,,,,L-838-826-250TH415F7575-USK---K05 Hollande,fff007551,48003644, ,,0.25-838-826-TH415-F7575-USK-IMP
27,"OT99-921XQ 0,20 2W/G",OT99-W14B05-921XQ-200TH550S2828-HBI-37856,"OT99-921XQ 0,20 2W/G",fff010976,"0,20x838x941, 2,8/2,8 TH550","M-838-941,7-200TH550S2828-HBI",fff005881,СКРОЛЛ,820х942,1500.0,№83,2W/G,PL1014-59,818062,818062,,"L-838-941,7-200TH550S2828-HBI-W14B05",fff010979, ,C-838---200TH550S2828-HBI,fff008623,0.20-838-941.7-TH550-S2828-HBI
28,OT070-ELQ7013A10A,Дно 70 ELQ7013A10 A G/C х,OT070-ELQ7013A10A,fff008178,"0,17x922x868 2,8/2,8 TH580",M-922-868-170TH580S2828-HBI,fff009746,СКРОЛЛ,884х850,1500.0,70-3,G/C,PL1019-34,816361,,,L-922-868-170TH580S2828-HBI-07CK05,fff009970, ,C-922----170TH580S2828- HBI,fff009747,0.17-922-868-TH580-S2828-HBI
29,OT80 W/C IC,"Дно 80 0,18 мм W/C  IC х",OT80 W/C IC,fff007811,"0,18x869x881 2,0/2,8 TH550",M-869-881-180TH550F2820-HBI,fff011070,СКРОЛЛ,903х844,1500.0,№15,W/C,PL1019-34,,,,L-869-881-180TH550F2820-HBI-V14K06,fff011076, ,C-869---180TH550F2820-HBI,fff011063,0.18-869-881-TH550-F2820-HBI
30,OT80 W/C 20E IC,"Дно 80 0,18 мм W/C 20E IC х",OT80 W/C 20E IC,fff008107,"0,18x869x881 2,0/2,8 TH550",M-869-881-180TH550F2820-HBI,fff011070,СКРОЛЛ,903х844,1500.0,№50,W/C 20Е,PL1019-34,16S61EG,DE5449-5,,"Жерсть 0,18*869*881 TH550 2,0/2,8 W/C  20Е х",fff008109, ,C-869---180TH550F2820-HBI,fff011063,0.18-869-881-TH550-F2820-HBI
31,"OT80 0,18 W/C","Дно 80 0,18 мм W/C х","OT80 0,18 W/C",fff004114,"0,18x869x881 2,0/2,8 TH550",M-869-881-180TH550F2820-HBI,fff011070,СКРОЛЛ,903х844,1500.0,№15,W/C,PL1019-34,,,,L-869-881-180TH550F2820-HBI-V14K06,fff011076, ,C-869---180TH550F2820-HBI,fff011063,0.18-869-881-TH550-F2820-HBI
32,OT80-ELQ8008A1A,Дно 80 ELQ8008A1A W/C BPANI 20E х,OT80-ELQ8008A1A,fff007924,"0,18x869x881 5,6/2,8 TH620",M-869-881-180TH620F5628-HBI ,fff011268,СКРОЛЛ,903х844,1500.0,№49,W/C 20Е,PL1019-34,16S61EG,DE5449-5,,"Жерсть 0,18*869*881 TH620 2,0/2,8 W/C BPANI 20Е х",fff008007, ,С-869---180TH620F5628-HBI,fff011063,0.18-869-881-TH620-F5628-HBI 
33,OT80-ELQ8008A2A,OT080-ELQ8008A2A-26EK05-121ST-180TH620F5628-HBI-62400,OT80-ELQ8008A2A,fff011270,"0,18x869x881 5,6/2,8 TH620",M-869-881-180TH620F5628-HBI ,fff011268,СКРОЛЛ,903х844,1500.0,№33,W/C BPANI 26Е,PL1019-34,16S61EG,16S61EG,DE5449-5,L-869-881-180TH620F5628-HBI-26EK05,fff011269,48011521,С-869---180TH620F5628-HBI,fff011063,0.18-869-881-TH620-F5628-HBI 
34,"OT96 0,18 G/G",OT096-C65B05-ARGO-180TH550S2828-HBI-39000,"OT96 0,18 G/G",UA0001020,"0,18x808x908 2,8/2,8 TH550",M-808-908-180TH550S2828-HBI,fff011084,СКРОЛЛ,900х771,1600.0,№94,G/G,PL1014-59,11064,,,L-808-908-180TH550S2828-HBI-C65B05,fff011085,49600863,C-808-----180TH550S2828-HBI,ффф011064,0.18-808-908-TH550-S2828-HBI
35,"OT96 0,19 G/C","Дно 96 0,19 мм TH620 G/C х","OT96 0,19 G/C",fff007615,"0,19x808x908 2,8/2,8 TH620","Жерсть 0,19*808*908 TH620 28/28 біла (лист) х",fff007613,СКРОЛЛ,900х771,1600.0,,G/C,,,,,"Жерсть 0,19*808*908 TH620 28/28 G/C х",fff007614, , ,,
36,"OT96 0,20  ALU/G","Дно 96 0,20мм ALU/Gх CHINA","OT96 0,20  ALU/G",fff008824,"0,20x808x908 2,8/2,8 TH550","Жерсть 0,20*808*908 TH550 28/28 біла (лист) х",fff006224,СКРОЛЛ,900х771,1600.0,,ALU/G,,,,,,,49600880,С-808---200TH550S2828-HBI,fff010619,
37,"OT96 0,20  ALU/G 28/28",OT096-A07B05-ARGO-200TH550S2828-HBI-38850,"OT96 0,20  ALU/G",,"0,20x808x908 2,8/2,8 TH550",M-808-908-200TH550S2828-HBI,fff010618,СКРОЛЛ,900х771,1600.0,№123,ALU/G,PL1014-59,28S30WB-1,,,L-808-908-200TH550S2828-HBI-A07B05,UA0004320,48017996,С-808---200TH550S2828-USK,UA0000570,0.20-808-908-TH550-S2828-HBI
38,"OT96 0,20  W/G",OT96-V14B05-ARGO-200TH550S2828-HBI-39000,"OT96 0,20  W/G",fff011271,"0,20x808x908 2,8/2,8 TH550",M-808-908-200TH550S2828-HBI,fff010618,СКРОЛЛ,900х771,1600.0,№56,W/G,PL1014-59,818062,,,L-808-908-200TH550S2828-HBI-V14B05,fff011083, ,С-808---200TH550S2828-HBI,fff010619,0.20-808-908-TH550-S2828-HBI
39,"OT96 0,22 ALU/G","Дно 96 0,22мм ALU/G x ","OT96 0,22 ALU/G",fff007536,"0,22x808x908 2,8/2,8 TH550","Жерсть 0,22*808*908 TH550 28/28 біла (лист) х",fff006225,СКРОЛЛ,900х771,1600.0,№41,ALU/G,,,,,"Жерсть 0,22х808х908 TH550 2,8/2,8 ALU/G x",fff007539, , ,,
40,"0,16x796x925 W/C BPANI",L-796-925-160TH520F2820-RAS-20EK05,"73/70x83,4 W/K",fff011059,"0,16x796x925 2,8/2,0 TH520",T-796-925-160TH520F2028-RAS,fff010861,ПРЯМ,900х771,1700.0,№30,BPANI W/C,PL1019-34,16S61EG,DE5449-5,,L-796-925-160TH520F2820-RAS-20EK05,fff011059, ,C-796---160TH520F2820-RAS,fff011060,0.16-796-925-TH520-F2028-RAS
41,"0,16x796x925 G/C ",L-796-925-160TH520F2820-RAS-C06K05,"73/70x80,4 G/K",fff011119,"0,16x796x925 2,8/2,0 TH520",T-796-925-160TH520F2028-RAS,fff010861,ПРЯМ,900х771,1700.0,№85,G/C,PL1019-34,101 597,,,L-796-925-160TH520F2820-RAS-C06K05,fff011119,41210925,C-796---160TH520F2820-RAS,fff011060,0.16-796-925-TH520-F2028-RAS
42,"0,17x838x942 ALU/С",L-838-942-170TH550F2820-HBI-A55K05,"99/96x48,5 Ap/K",fff011055,"0,17x838x942 2,0/2,8 TH550",T-838-942-170TH550F2820-HBI,fff011056,ПРЯМ,917х813,1500.0,BUF-8 A,ALU/С,28S30WB-1,PL1019-34,,,L-838-942-170TH550F2820-HBI-A55K05,fff011055,41202277,С-838---170TH550S2828-HBI,,0.17-838-942-TH550-F2820-HBI
43,"0,15x850x925 G/C",L-850-925-150TS550F2820-USK-C06K05,73/70x57 G/K,fff008921,"0,15x850x925 2,0/2,8 TS550",T-850-925-150TS550F2028-USK,fff008920,ПРЯМ,900х825,1600.0,№71  ,G/C,PL1019-34,101 597,,,L-850-925-150TS550F2820-USK-C06K05,fff008921,41202274, ,,0.15-850-925-TS550-F2028-USK
44,"0,18x860x873 W/C",L-860-873-180TH550F2820-HBI-V14K06,"OT80 0,18 W/C",fff011001,"0,18x860x873 2,8/2,0 TH550",M-860-873-180TH550F2820-HBI,fff009505,СКРОЛЛ,903х844,1500.0,№61,W/C,PL1019-34,818062,,,L-860-873-180TH550F2820-HBI-V14K06,fff011001, ,С-860---180TH550F2820-HBI,fff009115,0.18-860-873-TH550-F2820-HBI
45,"0,18x877x1066 W/G",L-877-1066-180TS275S2828-USK-21EB05,99x33 W/G,UA0003686,"0,18x877x1066 2,8/2,8 TS275",T-877-1066-180TS275S2828-USK,fff010364,ПРЯМ,1041х852,1100.0,BUF-13 A,W/G,PL1014-59,DE4488-3LV,DE5449-4,,L-877-1066-180TS275S2828-USK-21EB05,UA0003686,41212141,С-877---180TS275S2828-USK,fff010346,0.18-877-1066-TS275-S2828-USK
46,"0,17x894x795 W/С №13",L-894-795-170TH550F2828-HBI-V14K05,"Can body 0,17 W/C №13",fff011072,"0,17x894x795 2,8/2,8 TH550",T-894-795-170TH550F2828-HBI,fff011069,ПРЯМ,770х869,1600.0,№13  ,W/С,PL1019-34,818062,,,L-894-795-170TH550F2828-HBI-V14K05,fff011072, ,C-894---170TH550S2828-HBI,fff011062,0.17-894-795-TH550-F2828-HBI
47,"0,18x894x795 W/С",L-894-795-180TH550F5028-HBI-V14K05,"Can body 0,18 W/C",fff011071,"0,18x894x795 2,8/5,0 TH550",T-894-795-180TH550F2850-HBI,fff011068,ПРЯМ,770х869,1500.0,№14 ,W/С,PL1019-34,818062,,,L-894-795-180TH550F5028-HBI-V14K05,fff011071, ,C-894---180TH550F2850-HBI,fff011061,0.18-894-795-TH550-F2850-HBI
48,"0,19x895x907 W/C",L-895-907-190TH550F2820-HBI-V14K06,"OT83 0,19 W/C",fff011088,"0,19x895x907 2,8/2,0 TH550",M-895-907-190TH550F2820-HBI,fff011087,СКРОЛЛ,932х870,1500.0,№62 ,W/C,PL1019-34,818062,,,L-895-907-190TH550F2820-HBI-V14K06,fff011088, ,C-895---190TH550F2820-HBI,fff011066,0.19-895-907-TH550-F2820-HBI
49,"0,17x922x868 ALU/G",L-922-868-170TH550F2828-HBI-A07B05,"OT70 0,17 ALU/G",fff011089,"0,17x922x868 2,8/2,8 TH550",M-922-868-170TH550F2828-HBI,fff009814,СКРОЛЛ,884х850,1500.0,№58  ,ALU/G,,,,,L-922-868-170TH550F2828-HBI-A07B05,fff011089, ,C-922---170TH550F2828-HBI,,0.17-922-868-TH550-F2828-HBI
50,"0,17x922x868 G/G",L-922-868-170TH550F2828-HBI-C07B05,"OT70 0,17 G/G",fff011090,"0,17x922x868 2,8/2,8 TH550",M-922-868-170TH550F2828-HBI,fff009814,СКРОЛЛ,884х850,1500.0,№57 ,G/G,,,,,L-922-868-170TH550F2828-HBI-C07B05,fff011090, ,C-922---170TH550F2828-HBI,,0.17-922-868-TH550-F2828-HBI
51,"0,17x922x868 G/C",L-922-868-170TH550F2828-HBI-C07K05,"OT70 0,17 G/C",fff009494,"0,17x922x868 2,8/2,8 TH550",M-922-868-170TH550F2828-HBI,fff009814,СКРОЛЛ,884х850,1500.0,№74,G/C,,,,,L-922-868-170TH550F2828-HBI-C07K05,fff009494, ,C-922---170TH550F2828-HBI,,0.17-922-868-TH550-F2828-HBI
52,"0,16x942x790 ALU/С",L-942-790-160TS340S2020-RAS-А08К05,73x34 Ap/K,fff010844,"0,16x942x790 2,0/2,0 TS340",M-942-790-160TS340S2020-RAS,fff010843,СКРОЛЛ,830х917,1700.0,BUF-3 A,ALU/С,28S30WB-1,PL1019-34,,,L-942-790-160TS340S2020-RAS-А08К05,fff010844,49101572,C-942---160TS340S2020-RAS,fff010842,0.16-942-790-TS340-S2020-RAS
53,"0,17x959x901 ALU/G",L-959-901-170TH550F2828-HBI-A07B05,"OT73 0,17 ALU/G",fff011156,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№86,ALU/G,,,,,L-959-901-170TH550F2828-HBI-A07B05,fff011156, ,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
54,"0,17x959x901 2ALU/G",L-959-901-170TH550F2828-HBI-A10B05,"OT73 0,17 2ALU/G",fff011155,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№45,2ALU/G,11064,28S30WB-1,28S30WB-1,,L-959-901-170TH550F2828-HBI-A10B05,fff011155, ,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
55,"0,17x959x901 G/G",L-959-901-170TH550F2828-HBI-C07B05,"OT73 0,17 G/G",fff011149,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№46 ,G/G,11064,11064,,,L-959-901-170TH550F2828-HBI-C07B05,fff011149,41002122,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
56,"0,17x959x901 2G/G",L-959-901-170TH550F2828-HBI-D10B05,"OT73 0,17 2G/G",fff011151,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№47 ,2G/G ,11064,11064,11064,,L-959-901-170TH550F2828-HBI-D10B05,fff011151,41002545,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
57,"0,17x959x901 2W/G",L-959-901-170TH550F2828-HBI-W14B05,"OT73 0,17 2W/G",fff011152,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№48 ,2W/G,11064,818062,818062,,L-959-901-170TH550F2828-HBI-W14B05,fff011152,41002582,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
58,"0,17x959x901 2w/c",L-959-901-170TH550F2828-HBI-W14K05,OT73 2w/c,fff010265,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№79,2W/C,PL1019-34,818062,818062,,L-959-901-170TH550F2828-HBI-W14K05,fff010265,41002653,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
59,"0,17x959x901 G/C",L-959-901-170TH550F2828-HBI-С07K05,OT73 G/C,fff011153,"0,17x959x901 2,8/2,8 TH550",M-959-901-170TH550F2828-HBI,fff011150,СКРОЛЛ,920х935,1500.0,№70,G/C ,PL1019-34,11064,,,L-959-901-170TH550F2828-HBI-С07K05,fff011153,41002549,C-959---170TH550F2828-HBI,fff011067,0.17-959-901-TH550-F2828-HBI
60,"0,18x860x873 W/C",L-860-873-180TH550F2820-HBI-V14K06,"OT80 0,18 W/C",fff011001,"0,18x860x873 2,8/2,0 TH550",M-860-873-180TH550F2820-HBI,fff009505,СКРОЛЛ,903х844,1500.0,№61,W/C,PL1019-34,818062,,,L-860-873-180TH550F2820-HBI-V14K06,fff011001, ,С-860---180TH550F2820-HBI,fff009115,0.18-860-873-TH550-F2820-HBI
61,"0,17x894x795 W/С №88",L-894-795-170TH550F2828-HBI-15VK05,"Can body 0,17 W/C №88",UA0000030,"0,17x894x795 2,8/2,8 TH550",T-894-795-170TH550F2828-HBI,fff011069,ПРЯМ,770х869,1600.0,№88,W/C,PL1019-34,,,,L-894-795-170TH550F2828-HBI-15VK05,UA0000030, ,C-894---170TH550S2828-HBI,fff011062,0.17-894-795-TH550-F2828-HBI
