order_code;order_date;product_name;calculated_cut_sheets;comments;used_coil;needed_or_used_for_order;nomenclature_1c;;;;;;
VIL21062209;02.03.2021;OT62-ELQ6216A2A;35000;;;0;;;;;;;
VIL21062210;02.03.2021;OT62-ELQ6216A2A;15800;;;0;;;;;;;
BIL21894211;02.03.2021;0,17x894x795 BLANK;30000;;;0;;;;;;;
BIL21894212;02.03.2021;0,18x894x795 W/С;18000;;;0;;;;;;;
BUF21942213;02.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
BUF21814214;02.03.2021;0,14x814x925 G/C;12000;;;0;;;;;;;
BIL21838215;02.03.2021;0,17x838x942 BLANK;30000;;;0;;;;;;;
DAG21070216;03.03.2021;OT070-ELQ7013A9A ;27000;;;0;;;;;;;
VIL21062220;05.03.2021;OT62-ELQ6216A2A USK;20000;;;0;;;;;;;
VIL21062221;08.03.2021;OT62-ELQ6216A2A USK;40000;;;0;;;;;;;
VIL21062222;08.03.2021;OT62-ELQ6216A2A USK;20000;;;0;;;;;;;
BUF21942223;08.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
BUF21096224;08.03.2021;OT096 0,20 ALU/C HBI;11000;;;0;;;;;;;
BUF21096225;08.03.2021;OT096 0,20 ALU/C USK;10000;;;0;;;;;;;
BIL21860226;08.03.2021;0,18x860x873  BLANK;26000;;;0;;;;;;;
DEV21099217;08.03.2021;OT99-ELQ9999A0A_N/A;33500;;;0;;;;;;;
BUF21942218;10.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
BUF21070219;10.03.2021;OT070-ELQ7013A9A ;20000;;;0;;;;;;;
BUF21070227;10.03.2021;OT070-ELQ7013A4A;28000;;;0;;;;;;;
BIL21895228;10.03.2021;0,19x895x907 BLANK;50000;;;0;;;;;;;
BUF21942229;10.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
BUF21942230;10.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
BIL21913231;11.03.2021;0,14x913x766 BLANK;50000;;;0;;;;;;;
BIL21913232;12.03.2021;0,14x913x766 BLANK;20000;;;0;;;;;;;
VIL21062233;12.03.2021;OT62-ELQ6216A2A USK;20000;;;0;;;;;;;
VAJ21062234;15.03.2021;OT62-ELQ6216A2A USK;30000;;;0;;;;;;;
ZNO21153235;15.03.2021;OT153-ELQ1554A0A USK;20000;;;0;;;;;;;
DEV21070236;15.03.2021;OT070-ELQ7033A2A  TH580;48000;;;0;;;;;;;
BUF21942237;15.03.2021;0,16x942x790 ALU/С;40000;;;0;;;;;;;
DEV21070238;16.03.2021;OT70-ELY2060376B;10000;;;0;;;;;;;
BIL21942239;16.03.2021;0,16x942x790 BLANK;10000;;;0;;;;;;;
BUF21942240;16.03.2021;0,16x942x790 ALU/С;20000;;;0;;;;;;;
WEI21153241;16.03.2021;OT153-ELQ1542A3A USK;13000;;;0;;;;;;;
BIL21920242;16.03.2021;0,16x920x778 BLANK;30000;;;0;;;;;;;
BIL21838243;17.03.2021;0,17x838x942 BLANK;50000;;;0;;;;;;;
BUF21838244;17.03.2021;0,17x838x942 ALU/С;20000;;;0;;;;;;;
BIL21850245;17.03.2021;0,14x850x925 BLANK;20000;;;0;;;;;;;
BIL21877246;17.03.2021;0,18x877x1066 BLANK;15000;;;0;;;;;;;
BIL21894247;18.03.2021;0,17x894x795 BLANK;12000;;;0;;;;;;;
DEV21070248;18.03.2021;OT070-ELQ7022A6A ;23000;;;0;;;;;;;
ZNO21070249;18.03.2021;OT070-ELQ7013A11A;12000;;;0;;;;;;;
DEV21070250;18.03.2021;OT070-ELQ7033A2A  TH580;10000;;;0;;;;;;;
VIL21062251;18.03.2021;OT62-ELQ6216A2A;20000;;;0;;;;;;;
VAJ21062252;18.03.2021;OT62-ELQ6216A2A USK;13000;;;0;;;;;;;
BUF21096253;22.03.2021;OT096 0,20 ALU/C USK;10000;;;0;;;;;;;
BUF21096254;22.03.2021;OT096 0,20 ALU/C HBI;9000;;;0;;;;;;;
BIL21096255;22.03.2021;OT96 0,20  W/G USK;1500;;;0;;;;;;;
BIL21096256;22.03.2021;OT96 0,18 G/G;10000;;;0;;;;;;;
ZNO21153257;22.03.2021;OT153-ELQ0561A2A USK;15000;;;0;;;;;;;
WEI21153258;22.03.2021;OT153-ELQ1542A3A USK;13000;;;0;;;;;;;
NOR21099259;22.03.2021;OT99-ELQ0730A0A;20900;;;0;;;;;;;
BIL21913260;22.03.2021;0,14x913x766 BLANK;50000;;;0;;;;;;;
BIL21920261;23.03.2021;0,16x920x778 BLANK;20000;;;0;;;;;;;
BIL21850262;23.03.2021;0,14x850x925 BLANK;10000;;;0;;;;;;;
BUF21850263;23.03.2021;0,14x850x925 G/C;30000;;;0;;;;;;;
BIL21860264;24.03.2021;0,18x860x873 W/C;42000;;;0;;;;;;;
BIL21895265;24.03.2021;0,19x895x907 W/C;16000;;;0;;;;;;;
DEV21070266;24.03.2021;OT070-ELQ7033A2A  TH580;14000;;;0;;;;;;;
VIL21062267;29.03.2021;OT62-ELQ6216A2A;10000;;;0;;;;;;;
VAJ21062268;29.03.2021;OT62-ELQ6215A5A;13500;;;0;;;;;;;
VAJ21062269;29.03.2021;OT62-ELQ6216A2A;17000;;;0;;;;;;;
ZNO21153270;29.03.2021;OT153-ELQ1554A0A USK;26000;;;0;;;;;;;
WEI21153271;29.03.2021;OT153-ELQ1542A3A USK;9000;;;0;;;;;;;
ZNO21099272;29.03.2021;OT99-EBQ0556B2A;4500;;;0;;;;;;;
NOR21099273;29.03.2021;OT99-ELQ0730A0A;6300;;;0;;;;;;;
ZNO21070274;30.03.2021;OT070-ELQ7013A9A ;18000;;;0;;;;;;;
BIL21894275;30.03.2021;0,18x894x795 W/С;30000;;;0;;;;;;;
BIL21894276;30.03.2021;0,17x894x795 BLANK;19000;;;0;;;;;;;
BIL21895277;30.03.2021;0,19x895x907 W/C;20000;;;0;;;;;;;
VIL21062278;31.03.2021;OT62-ELQ6216A2A;37000;;;0;;;;;;;
DEV21070279;31.03.2021;OT070-ELQ7013A13A;1500;;;0;;;;;;;
VIL21062280;01.04.2021;OT62-ELQ6216A2A;20000;;;0;;;;;;;
BIL21894281;01.04.2021;0,17x894x795 BLANK;9000;;;0;;;;;;;
BIL21894282;01.04.2021;0,18x894x795 BLANK;10000;;;0;;;;;;;
BUF21850283;01.04.2021;0,14x850x925 G/C;31000;;;0;;;;;;;
BUF21942284;05.04.2021;0,16x942x790 ALU/С;27000;;;0;;;;;;;
VIL21062285;05.04.2021;OT62-ELQ6216A2A;41000;;;0;;;;;;;
VIL21062286;05.04.2021;OT62-ELQ6216A2A USK;20000;;;0;;;;;;;
BIL21913287;05.04.2021;0,14x913x766 BLANK;20000;;;0;;;;;;;
DEV21070288;05.04.2021;OT070-ELQ7033A2A  TH580;30000;;;0;;;;;;;
DEV21070289;05.04.2021;OT070-ELQ7022A6A ;10000;;;0;;;;;;;
BUF21070290;05.04.2021;OT070-ELQ7013A9A ;10000;;;0;;;;;;;
NOR21099291;06.04.2021;OT99-ELQ0730A0A;11000;;;0;;;;;;;
BIL21894292;06.04.2021;0,17x894x795 BLANK;20000;;;0;;;;;;;
BIL21894293;06.04.2021;0,18x894x795 BLANK;8000;;;0;;;;;;;
VIL21062294;09.04.2021;OT62-ELQ6216A2A USK;35000;;;0;;;;;;;
VIL21062295;09.04.2021;OT62-ELQ6216A2A USK;35000;;;0;;;;;;;
BIL21838296;09.04.2021;0,17x838x942 BLANK;20000;;;0;;;;;;;
BUF21838297;09.04.2021;0,17x838x942 ALU/С;28000;;;0;;;;;;;
DEV21070298;09.04.2021;OT070-ELQ7033A2A  TH580;35000;;;0;;;;;;;
BUF21814299;09.04.2021;0,14x814x925 G/C;20000;;;0;;;;;;;
BUF21070300;12.04.2021;OT070-ELQ7040A0A;9500;;;0;;;;;;;
ZNO21070301;13.04.2021;OT070-ELQ7013A9A ;15000;;;0;;;;;;;
BIL21894302;13.04.2021;0,17x894x795 BLANK;13000;;;0;;;;;;;
BIL21894303;13.04.2021;0,18x894x795 BLANK;40000;;;0;;;;;;;
BUF21830304;14.04.2021;0,18x830x801 Alu/C;3900;;;0;;;;;;;
DEV21070305;16.04.2021;OT070-ELQ7033A2A TH550;30000;;;0;;;;;;;
DEV21070306;16.04.2021;OT070-ELQ7033A2A TH550;30000;;;0;;;;;;;
VIL21062307;19.04.2021;OT62-ELQ6216A2A;25000;;;0;;;;;;;
VAJ21062308;19.04.2021;OT62-ELQ6216A2A;25000;;;0;;;;;;;
BUF21070309;19.04.2021;OT070-ELQ7013A9A ;20000;;;0;;;;;;;
BUF21096310;22.04.2021;OT096 0,20 ALU/C USK;20000;;;0;;;;;;;
BIL21908311;19.04.2021;0,20x908x1112 BLANK;7000;;;0;;;;;;;
BIL21913312;19.04.2021;0,14x913x766 BLANK;45000;;;0;;;;;;;
BIL21920313;19.04.2021;0,16x920x778 BLANK;18000;;;0;;;;;;;
BIL21894314;19.04.2021;0,17x894x795 BLANK;40000;;;0;;;;;;;
BIL21894315;20.04.2021;0,17x894x795 W/С №13;40000;;;0;;;;;;;
BIL21894316;20.04.2021;0,17x894x795 BLANK;40000;;;0;;;;;;;
BUF21096317;22.04.2021;OT096 0,20 ALU/C USK;20000;;;0;;;;;;;
DEV21099318;22.04.2021;OT99-ELQ9999A0A_N/A;8060;;;0;;;;;;;
DEV21099319;22.04.2021;OT99-ELQ9999A0A_N/A;14600;;;0;;;;;;;
BUF21099320;23.04.2021;OT99-921XQ 0,18 A55B05 ;9000;BUF/BIL change;;0;;;;;;;
VIL21062321;26.04.2021;OT62-ELQ6216A2A;40000;;;0;;;;;;;
BIL21920322;26.04.2021;0,16x920x778 BLANK;20000;;;0;;;;;;;
VAJ21096323;26.04.2021;OT096-A07B05 Alu/G;3000;;;0;;;;;;;
BIL21895324;26.04.2021;0,16x920x778 BLANK;20000;take the # for other order;;0;;;;;;;
BIL21894325;26.04.2021;0,17x894x795 BLANK;20000;;;0;;;;;;;
DEV21099326;27.04.2021;OT99-ELQ9999A0A_N/A;6000;;;0;;;;;;;
BUF21830327;27.04.2021;0,18x830x801 Alu/C;9000;;;0;;;;;;;
BIL21895328;27.04.2021;0,19x895x907 BLANK;40000;;;0;;;;;;;
BIL21894329;27.04.2021;0,17x894x795 W/С №13;30000;;;0;;;;;;;
BIL21894330;27.04.2021;0,17x894x795 W/С №13;30000;;;0;;;;;;;
BIL21894331;27.04.2021;0,18x894x795 W/С;12000;;;0;;;;;;;
VIL21954332;27.04.2021;OT62-ELQ6216A2A USK;30000;;;0;;;;;;;
VIL21062333;29.04.2021;OT62-ELQ6216A2A;30000;;;0;;;;;;;
DEV21070334;30.04.2021;OT070-ELQ7033A2A  TH580;20000;;;0;;;;;;;
WEI21153335;30.04.2021;OT153-ELQ1542A3A USK;15000;;;0;;;;;;;
ZNO21153336;30.04.2021;OT153-ELQ1554A0A;21000;;;0;;;;;;;
ZNO21153337;30.04.2021;OT153-ELQ0561A2A USK;21000;;;0;;;;;;;
MOE21062338;05.05.2021;OT62-ELQ6215A5A;40000;;;0;;;;;;;
VIL21062339;05.05.2021;OT62-ELQ6216A2A;40000;;;0;;;;;;;
BIL21913340;05.05.2021;0,14x913x766 BLANK;40000;;;0;;;;;;;
BIL21908341;05.05.2021;0,20x908x1112 BLANK;18000;;;0;;;;;;;
ТЕСТ 2026;06.05.2021;ТЕСТ 2026;600;;;0;;;;;;;
BUF21942342;07.05.2021;0,16x942x790 ALU/С;50000;;;;;;;;;;
BIL21895343;10.05.2021;0,19x895x907 W/C;35000;;;;;;;;;;
BIL21895344;10.05.2021;0,19x895x907 BLANK;25000;;;;;;;;;;
BIL21099345;11.05.2021;OT99-921XQ 0,18 G/G;7500;;;;;;;;;;
MOE21062346;11.05.2021;OT62-ELQ6216A2A;28000;;;28170;;;;;;;
BIL21894347;11.05.2021;0,17x894x795 BLANK;45000;;;53050;;;;;;;
BIL21894348;11.05.2021;0,18x894x795 BLANK;9000;;;11020;;;;;;;
DEV21070349;11.05.2021;OT070-ELQ7022A6A ;20000;;;19680;;;;;;;
DEV21070350;11.05.2021;OT070-ELQ7033A2A  TH580;25000;;;20000;;;;;;;
DEV21070351;12.05.2021;OT70-ELQ7022A5A;10000;;;17860;;;;;;;
ZNO21153352;13.05.2021;OT153-ELQ0561A2A USK;24500;;;43980;;;;;;;
BUF21838353;13.05.2021;0,17x838x942 ALU/С;30000;;;29440;;;;;;;
BIL21913354;13.05.2021;0,14x913x766 BLANK;50000;;;47395;;;;;;;
BIL21908355;14.05.2021;0,20x908x1112 BLANK;12000;;;18890;;;;;;;
BUF21877356;14.05.2021;0,18x877x1066 W/G;20000;;;20540;;;;;;;
BIL21894357;17.05.2021;0,17x894x795 BLANK;45000;;;50730;;;;;;;
BIL21894358;17.05.2021;0,18x894x795 BLANK;30000;;;30190;;;;;;;
VIL21062359;17.05.2021;OT62-ELQ6216A2A USK;35000;;;35140;;;;;;;
VAJ21062360;17.05.2021;OT62-ELQ6216A2A USK;20000;;;21040;;;;;;;
BUF21096361;17.05.2021;OT096 0,20 ALU/C USK;25000;;;27280;;;;;;;
BIL21860362;18.05.2021;0,18x860x873 W/C;25000;;;29120;;;;;;;
BIL21860363;18.05.2021;0,18x860x873 W/C;25000;;;26960;;;;;;;
BUF21070364;19.05.2021;OT070-ELQ7013A9A ;20000;;;19490;;;;;;;
VIL21062365;19.05.2021;OT62-ELQ6215A5A;40000;;;44980;;;;;;;
BIL21895366;19.05.2021;0,19x895x907 BLANK;30000;;;41780;;;;;;;
BIL21895367;19.05.2021;0,19x895x907 BLANK;30000;;;32210;;;;;;;
BUF21942368;20.05.2021;0,16x942x790 ALU/С;25000;;;29273;;;;;;;
BIL21942369;20.05.2021;0,16x942x790 BLANK;4800;;;0;;;;;;;
BIL21894370;20.05.2021;0,17x894x795 BLANK;19000;;;19680;;;;;;;
BIL21894371;20.05.2021;0,18x894x795 BLANK;11000;;;22510;;;;;;;
BIL21894372;21.05.2021;0,17x894x795 BLANK;20000;;;30550;;;;;;;
BIL21894373;24.05.2021;0,18x894x795 BLANK;30000;;;29790;;;;;;;
BUF21894374;24.05.2021;0,14x814x925 W/C;10000;;;9574;;;;;;;
ZNO21070375;24.05.2021;OT070-ELQ7013A11A;24000;;;30190;;;;;;;
BUF21070376;24.05.2021;OT070-ELQ7013A9A ;15000;;;10840;;;;;;;
BIL21959377;24.05.2021;0,17x959x901 2G/G;28000;;;28490;;;;;;;
BIL21959378;24.05.2021;0,17x959x901 2W/G;10000;;;11840;;;;;;;
BUF21096379;25.05.2021;OT096 0,20 ALU/C USK;39000;;;39750;;;;;;;
BIL21894380;25.05.2021;0,18x894x795 W/С;25000;;;28410;;;;;;;
BIL21894381;25.05.2021;0,18x894x795 W/С;45000;;;43160;;;;;;;
VIL21062382;26.05.2021;OT62-ELQ6216A2A USK;40000;;;44910;;;;;;;
ZNO21153383;26.05.2021;OT153-ELQ0561A2A USK;20000;;;37170;;;;;;;
ZNO21153384;26.05.2021;OT153-ELQ1554A0A;10000;;;14920;;;;;;;
BUF21796385;27.05.2021;0,14x796x925 G/C;35000;;;27358;;;;;;;
BIL21894386;27.05.2021;0,18x894x795 BLANK;40000;;;40060;;;;;;;
BIL21894387;27.05.2021;0,18x894x795 BLANK;20000;;;20140;;;;;;;
NOR21099388;27.05.2021;OT99-ELQ0730A0A;19000;;;0;;;;;;;
BIL21894389;28.05.2021;0,17x894x795 BLANK;30000;;;28190;;;;;;;
BUF21099390;28.05.2021;OT99-921XQ 0,20 A55B05 ;10000;;;11580;;;;;;;
BIL21894391;31.05.2021;0,17x894x795 BLANK;30000;;;19860;;;;;;;
BIL21894392;31.05.2021;0,18x894x795 W/С;30000;;;38100;;;;;;;
BUF21838393;31.05.2021;0,17x838x942 ALU/С;39000;;;39670;;;;;;;
BUF21070394;31.05.2021;OT070-ELQ7040A0A;9000;;;10700;;;;;;;
BUF21070395;31.05.2021;OT070-ELQ7013A9A ;35000;;;19530;;;;;;;
BIL21920396;01.06.2021;0,16x920x778 BLANK;30000;;;28771;;;;;;;
BIL21913397;01.06.2021;0,14x913x766 BLANK;50000;;;37154;;;;;;;
NOR2109998;01.06.2021;OT99-ELQ0730A0A;14500;;;0;;;;;;;
ZNO21099399;01.06.2021;OT99-EBQ0556B2A;5350;;;0;;;;;;;
MOE21062400;02.06.2021;OT62-ELQ6216A2A USK;45000;;;47540;;;;;;;
BIL21099401;03.06.2021;OT99-921XQ 0,22 ALU/G;4000;;;;;;;;;;
VIL21062402;03.06.2021;OT62-ELQ6216A2A USK;6400;;;7140;;;;;;;
BUF21942403;03.06.2021;0,16x942x790 ALU/С;50000;;;47275;;;;;;;
BUF21850404;07.06.2021;0,14x850x925 G/C;50000;;;38494;;;;;;;
WEI21153405;07.06.2021;OT153-ELQ1554A0A USK;15000;;;22270;;;;;;;
ZNO21153406;07.06.2021;OT153-ELQ1554A0A USK;15000;;;21660;;;;;;;
BUF21099407;07.06.2021;OT99-921XQ 0,20 A55B05 ;28000;;;25750;;;;;;;
BIL21894408;07.06.2021;0,17x894x795 BLANK;30000;;;28370;;;;;;;
BIL21894409;08.06.2021;0,17x894x795 BLANK;30000;;;21050;;;;;;;
BIL21894410;08.06.2021;0,18x894x795 BLANK;30000;;;29270;;;;;;;
BUF21838411;09.06.2021;0,17x838x942 ALU/С;40000;;;48180;;;;;;;
BIL21913412;09.06.2021;0,14x913x766 BLANK;50000;;;38059;;;;;;;
ZNO21153413;10.06.2021;OT153-ELQ1554A0A USK;15000;;;34390;;;;;;;
ZNO21153414;10.06.2021;OT153-ELQ1542A3A USK;15000;;;37230;;;;;;;
BUF21096415;11.06.2021;OT096 0,20 ALU/C USK;30000;;;42320;;;;;;;
VIL21062416;11.06.2021;OT62-ELQ6216A2A USK;30000;;;33620;;;;;;;
VIL21062417;11.06.2021;OT62-ELQ6216A2A USK;30000;;;33500;;;;;;;
MOE21062418;11.06.2021;OT62-ELQ6215A5A;20000;;;45450;;;;;;;
VAJ21096419;15.06.2021;OT096-A07B05 Alu/G;10000;;;;;;;;;;
BIL21894420;15.06.2021;0,17x894x795 BLANK;45000;;;;;;;;;;
BIL21894421;15.06.2021;0,18x894x795 W/С;45000;;;;;;;;;;
ZNO21153422;15.06.2021;OT153-ELQ1554A0A USK;17000;;;;;;;;;;
