Назва;Номенклатура ОТ (1С);Кінцевий продукт;Код прод. 1С;Формат порізки;Формат порізки (1С);Код поріз.  1С;розкрій;піддон;пачка;№Spec;Лакування;Прогін1;Прогін2;Прогін3;Прогін4;Формат Лакування (1С);Код лак.1С;SAP code;Coil;IC codes of coils;for barcode
0,17x894x795 W/С №13;L-894-795-170TH550F2828-HBI-V14K05;Can body 0,17 W/C №13;fff011072;0,17x894x795 2,8/2,8 TH550;T-894-795-170TH550F2828-HBI;fff011069;ПРЯМ;770х869;1600;№13  ;W/С;PL1019-34;818062;;;L-894-795-170TH550F2828-HBI-V14K05;fff011072; ;C-894---170TH550S2828-HBI;fff011062;0.17-894-795-TH550-F2828-HBI
0,18x894x795 W/С;L-894-795-180TH550F5028-HBI-V14K05;Can body 0,18 W/C;fff011071;0,18x894x795 2,8/5,0 TH550;T-894-795-180TH550F2850-HBI;fff011068;ПРЯМ;770х869;1500;№14 ;W/С;PL1019-34;818062;;;L-894-795-180TH550F5028-HBI-V14K05;fff011071; ;C-894---180TH550F2850-HBI;fff011061;0.18-894-795-TH550-F2850-HBI
0,19x895x907 W/C;L-895-907-190TH550F2820-HBI-V14K06;OT83 0,19 W/C;fff011088;0,19x895x907 2,8/2,0 TH550;M-895-907-190TH550F2820-HBI;fff011087;СКРОЛЛ;932х870;1500;№62 ;W/C;PL1019-34;818062;;;L-895-907-190TH550F2820-HBI-V14K06;fff011088; ;C-895---190TH550F2820-HBI;fff011066;0.19-895-907-TH550-F2820-HBI
0,17x922x868 ALU/G;L-922-868-170TH550F2828-HBI-A07B05;OT70 0,17 ALU/G;fff011089;0,17x922x868 2,8/2,8 TH550;M-922-868-170TH550F2828-HBI;fff009814;СКРОЛЛ;884х850;1500;№58  ;ALU/G;;;;;L-922-868-170TH550F2828-HBI-A07B05;fff011089; ;C-922---170TH550F2828-HBI;;0.17-922-868-TH550-F2828-HBI
0,17x922x868 G/G;L-922-868-170TH550F2828-HBI-C07B05;OT70 0,17 G/G;fff011090;0,17x922x868 2,8/2,8 TH550;M-922-868-170TH550F2828-HBI;fff009814;СКРОЛЛ;884х850;1500;№57 ;G/G;;;;;L-922-868-170TH550F2828-HBI-C07B05;fff011090; ;C-922---170TH550F2828-HBI;;0.17-922-868-TH550-F2828-HBI
0,17x922x868 G/C;L-922-868-170TH550F2828-HBI-C07K05;OT70 0,17 G/C;fff009494;0,17x922x868 2,8/2,8 TH550;M-922-868-170TH550F2828-HBI;fff009814;СКРОЛЛ;884х850;1500;№74;G/C;;;;;L-922-868-170TH550F2828-HBI-C07K05;fff009494; ;C-922---170TH550F2828-HBI;;0.17-922-868-TH550-F2828-HBI
0,16x942x790 ALU/С;L-942-790-160TS340S2020-RAS-А08К05;73x34 Ap/K;fff010844;0,16x942x790 2,0/2,0 TS340;M-942-790-160TS340S2020-RAS;fff010843;СКРОЛЛ;830х917;1700;BUF-3 A;ALU/С;28S30WB-1;PL1019-34;;;L-942-790-160TS340S2020-RAS-А08К05;fff010844;49101572;C-942---160TS340S2020-RAS;fff010842;0.16-942-790-TS340-S2020-RAS
0,17x959x901 ALU/G;L-959-901-170TH550F2828-HBI-A07B05;OT73 0,17 ALU/G;fff011156;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№86;ALU/G;;;;;L-959-901-170TH550F2828-HBI-A07B05;fff011156; ;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 2ALU/G;L-959-901-170TH550F2828-HBI-A10B05;OT73 0,17 2ALU/G;fff011155;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№45;2ALU/G;11064;28S30WB-1;28S30WB-1;;L-959-901-170TH550F2828-HBI-A10B05;fff011155; ;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 G/G;L-959-901-170TH550F2828-HBI-C07B05;OT73 0,17 G/G;fff011149;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№46 ;G/G;11064;11064;;;L-959-901-170TH550F2828-HBI-C07B05;fff011149;41002122;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 2G/G;L-959-901-170TH550F2828-HBI-D10B05;OT73 0,17 2G/G;fff011151;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№47 ;2G/G ;11064;11064;11064;;L-959-901-170TH550F2828-HBI-D10B05;fff011151;41002545;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 2W/G;L-959-901-170TH550F2828-HBI-W14B05;OT73 0,17 2W/G;fff011152;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№48 ;2W/G;11064;818062;818062;;L-959-901-170TH550F2828-HBI-W14B05;fff011152;41002582;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 2w/c;L-959-901-170TH550F2828-HBI-W14K05;OT73 2w/c;fff010265;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№79;2W/C;PL1019-34;818062;818062;;L-959-901-170TH550F2828-HBI-W14K05;fff010265;41002653;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,17x959x901 G/C;L-959-901-170TH550F2828-HBI-С07K05;OT73 G/C;fff011153;0,17x959x901 2,8/2,8 TH550;M-959-901-170TH550F2828-HBI;fff011150;СКРОЛЛ;920х935;1500;№70;G/C ;PL1019-34;11064;;;L-959-901-170TH550F2828-HBI-С07K05;fff011153;41002549;C-959---170TH550F2828-HBI;fff011067;0.17-959-901-TH550-F2828-HBI
0,18x860x873 W/C;L-860-873-180TH550F2820-HBI-V14K06;OT80 0,18 W/C;fff011001;0,18x860x873 2,8/2,0 TH550;M-860-873-180TH550F2820-HBI;fff009505;СКРОЛЛ;903х844;1500;№61;W/C;PL1019-34;818062;;;L-860-873-180TH550F2820-HBI-V14K06;fff011001; ;С-860---180TH550F2820-HBI;fff009115;0.18-860-873-TH550-F2820-HBI
0,17x894x795 W/С №88;L-894-795-170TH550F2828-HBI-15VK05;Can body 0,17 W/C №88;UA0000030;0,17x894x795 2,8/2,8 TH550;T-894-795-170TH550F2828-HBI;fff011069;ПРЯМ;770х869;1600;№88;W/C;PL1019-34;;;;L-894-795-170TH550F2828-HBI-15VK05;UA0000030; ;C-894---170TH550S2828-HBI;fff011062;0.17-894-795-TH550-F2828-HBI
0,18x860x873 W/C №87;L-860-873-180TH550F2820-HBI-15VK06;Can body 0,18 W/C №87;UA0000040;0,18x860x873 2,8/2,0 TH550;M-860-873-180TH550F2820-HBI;fff009505;СКРОЛЛ;903х844;1500;№87;W/C;PL1019-34;;;;L-860-873-180TH550F2820-HBI-15VK06;UA0000040; ;С-860---180TH550F2820-HBI;fff009115;0.18-860-873-TH550-F2820-HBI
0,14x913x766 BLANK;M-913-766-140TS480S2020-RAS BLANK;"Draw can 73x27; 73x28;73x30;73x34 BLANK/ BIL";UA0003719;0,14x913x766 2,0/2,0 TS480;M-913-766-140TS480S2020-RAS BLANK;UA0003719;СКРОЛЛ;770х869;1500;---;---;---;---;---;---;---;---; ;C-913----140TS480S2020-RAS;fff010840;0.14-913-766-TS480-S2020-RAS
